TradeSummary(id=965, instrument=EUR_USD, price=1.11939, openTime=2020-03-16T12:01:32.617750457Z, state=CLOSED, initialUnits=100, initialMarginRequired=4.5406, currentUnits=0, realizedPL=-0.3603, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11497, closingTransactionIDs=[1002], financing=0.0000, closeTime=2020-03-16T13:01:56.638767818Z, clientExtensions=null, takeProfitOrderID=null, stopLossOrderID=966, trailingStopLossOrderID=967)
TradeSummary(id=971, instrument=EUR_USD, price=1.11941, openTime=2020-03-16T12:02:33.120099250Z, state=CLOSED, initialUnits=100, initialMarginRequired=4.5379, currentUnits=0, realizedPL=-0.3619, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11497, closingTransactionIDs=[1004], financing=0.0000, closeTime=2020-03-16T13:01:56.638767818Z, clientExtensions=null, takeProfitOrderID=null, stopLossOrderID=972, trailingStopLossOrderID=973)
TradeSummary(id=1011, instrument=EUR_USD, price=1.11535, openTime=2020-03-16T14:04:19.111096513Z, state=CLOSED, initialUnits=-100, initialMarginRequired=4.5397, currentUnits=0, realizedPL=0.1071, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11404, closingTransactionIDs=[1017], financing=0.0000, closeTime=2020-03-16T14:18:34.371880384Z, clientExtensions=null, takeProfitOrderID=1012, stopLossOrderID=1013, trailingStopLossOrderID=null)
TradeSummary(id=1028, instrument=AUD_USD, price=0.61361, openTime=2020-03-16T16:10:02.022976792Z, state=CLOSED, initialUnits=-79, initialMarginRequired=1.9722, currentUnits=0, realizedPL=-0.0819, unrealizedPL=null, marginUsed=null, averageClosePrice=0.61488, closingTransactionIDs=[1032], financing=0.0000, closeTime=2020-03-16T16:27:18.884391644Z, clientExtensions=null, takeProfitOrderID=1029, stopLossOrderID=1030, trailingStopLossOrderID=null)
TradeSummary(id=1028, instrument=AUD_USD, price=0.61361, openTime=2020-03-16T16:10:02.022976792Z, state=CLOSED, initialUnits=-79, initialMarginRequired=1.9722, currentUnits=0, realizedPL=-0.0819, unrealizedPL=null, marginUsed=null, averageClosePrice=0.61488, closingTransactionIDs=[1032], financing=0.0000, closeTime=2020-03-16T16:27:18.884391644Z, clientExtensions=null, takeProfitOrderID=1029, stopLossOrderID=1030, trailingStopLossOrderID=null)
TradeSummary(id=1040, instrument=USD_JPY, price=105.695, openTime=2020-03-16T17:07:11.449125996Z, state=CLOSED, initialUnits=-620, initialMarginRequired=25.3360, currentUnits=0, realizedPL=-0.6425, unrealizedPL=null, marginUsed=null, averageClosePrice=105.829, closingTransactionIDs=[1047], financing=0.0000, closeTime=2020-03-16T17:50:51.131996648Z, clientExtensions=null, takeProfitOrderID=1041, stopLossOrderID=1042, trailingStopLossOrderID=null)
TradeSummary(id=1028, instrument=AUD_USD, price=0.61361, openTime=2020-03-16T16:10:02.022976792Z, state=CLOSED, initialUnits=-79, initialMarginRequired=1.9722, currentUnits=0, realizedPL=-0.0819, unrealizedPL=null, marginUsed=null, averageClosePrice=0.61488, closingTransactionIDs=[1032], financing=0.0000, closeTime=2020-03-16T16:27:18.884391644Z, clientExtensions=null, takeProfitOrderID=1029, stopLossOrderID=1030, trailingStopLossOrderID=null)
TradeSummary(id=1040, instrument=USD_JPY, price=105.695, openTime=2020-03-16T17:07:11.449125996Z, state=CLOSED, initialUnits=-620, initialMarginRequired=25.3360, currentUnits=0, realizedPL=-0.6425, unrealizedPL=null, marginUsed=null, averageClosePrice=105.829, closingTransactionIDs=[1047], financing=0.0000, closeTime=2020-03-16T17:50:51.131996648Z, clientExtensions=null, takeProfitOrderID=1041, stopLossOrderID=1042, trailingStopLossOrderID=null)
TradeSummary(id=1040, instrument=USD_JPY, price=105.695, openTime=2020-03-16T17:07:11.449125996Z, state=CLOSED, initialUnits=-620, initialMarginRequired=25.3360, currentUnits=0, realizedPL=-0.6425, unrealizedPL=null, marginUsed=null, averageClosePrice=105.829, closingTransactionIDs=[1047], financing=0.0000, closeTime=2020-03-16T17:50:51.131996648Z, clientExtensions=null, takeProfitOrderID=1041, stopLossOrderID=1042, trailingStopLossOrderID=null)
TradeSummary(id=1040, instrument=USD_JPY, price=105.695, openTime=2020-03-16T17:07:11.449125996Z, state=CLOSED, initialUnits=-620, initialMarginRequired=25.3360, currentUnits=0, realizedPL=-0.6425, unrealizedPL=null, marginUsed=null, averageClosePrice=105.829, closingTransactionIDs=[1047], financing=0.0000, closeTime=2020-03-16T17:50:51.131996648Z, clientExtensions=null, takeProfitOrderID=1041, stopLossOrderID=1042, trailingStopLossOrderID=null)
TradeSummary(id=1059, instrument=EUR_JPY, price=118.320, openTime=2020-03-16T18:04:20.871384179Z, state=CLOSED, initialUnits=870, initialMarginRequired=39.7359, currentUnits=0, realizedPL=1.7891, unrealizedPL=null, marginUsed=null, averageClosePrice=118.587, closingTransactionIDs=[1077], financing=0.0000, closeTime=2020-03-16T18:30:10.229547378Z, clientExtensions=null, takeProfitOrderID=1075, stopLossOrderID=1061, trailingStopLossOrderID=null)
